Threads	Seq.time	Blocks=1	Blocks=2	Blocks=4	Blocks=8	Blocks=16	Blocks=32	Blocks=64	Blocks=128	Blocks=256	Blocks=512	Blocks=1024	
1	1.000000	0.963128	0.968232	0.984968	1.037405	1.008101	1.016218	1.013694	1.023254	1.042912	1.000931	1.003006	
2	1.000000	1.871158	1.924398	1.947609	2.016594	1.913333	1.904579	1.910360	1.923867	1.955797	1.959454	1.974893	
4	1.000000	3.716583	3.698080	3.662233	4.167834	3.935669	3.590326	3.656926	3.711667	3.704101	3.763382	3.599684	
8	1.000000	6.635786	6.831663	6.732212	6.754687	6.920146	6.950138	6.993228	7.101929	6.930095	6.839576	6.600817	
16	1.000000	12.133800	12.620738	12.249522	12.202177	12.731277	12.517373	12.584707	12.665079	12.074234	11.786036	11.656811	
32	1.000000	18.225697	17.637734	18.563452	18.603824	19.372424	18.645008	18.468979	18.095338	16.704245	16.119127	13.839786	
64	1.000000	17.078080	19.684917	19.534164	19.465806	21.386562	17.044112	17.314768	18.527653	16.526491	15.439009	11.036552	
128	1.000000	22.468244	25.200696	25.041850	25.174420	25.307288	23.612546	20.850387	18.902177	15.784027	12.159783	7.964905	
256	1.000000	24.104062	24.361202	24.397942	22.944923	20.637678	18.878907	15.232087	10.919156	7.776333	5.069162	3.139324	
512	1.000000	14.608389	14.335168	13.960904	13.460334	8.111129	5.533401	2.743554	1.143715	1.080614	0.731421	0.530681	
1024	1.000000	12.623526	12.691627	11.711141	2.372911	0.775903	1.222861	0.572480	1.293403	0.538133	0.316210	0.435284	
