Threads	Seq.time	Blocks=1	Blocks=2	Blocks=4	Blocks=8	Blocks=16	Blocks=32	Blocks=64	Blocks=128	Blocks=256	Blocks=512	Blocks=1024	
1	0.514001	0.533679	0.530865	0.521845	0.495468	0.509870	0.505798	0.507057	0.502320	0.492852	0.513523	0.512461	
2	0.514001	0.274697	0.267097	0.263914	0.254886	0.268642	0.269876	0.269060	0.267171	0.262809	0.262318	0.260268	
4	0.514001	0.138299	0.138991	0.140352	0.123326	0.130601	0.143163	0.140555	0.138482	0.138765	0.136579	0.142791	
8	0.514001	0.077459	0.075238	0.076349	0.076095	0.074276	0.073955	0.073500	0.072375	0.074169	0.075151	0.077869	
16	0.514001	0.042361	0.040727	0.041961	0.042124	0.040373	0.041063	0.040843	0.040584	0.042570	0.043611	0.044094	
32	0.514001	0.028202	0.029142	0.027689	0.027629	0.026533	0.027568	0.027830	0.028405	0.030771	0.031888	0.037139	
64	0.514001	0.030097	0.026111	0.026313	0.026405	0.024034	0.030157	0.029686	0.027742	0.031102	0.033292	0.046573	
128	0.514001	0.022877	0.020396	0.020526	0.020418	0.020310	0.021768	0.024652	0.027193	0.032565	0.042271	0.064533	
256	0.514001	0.021324	0.021099	0.021067	0.022402	0.024906	0.027226	0.033745	0.047073	0.066098	0.101398	0.163730	
512	0.514001	0.035185	0.035856	0.036817	0.038186	0.063370	0.092891	0.187349	0.449414	0.475656	0.702743	0.968568	
1024	0.514001	0.040718	0.040499	0.043890	0.216612	0.662455	0.420327	0.897849	0.397402	0.955156	1.625504	1.180840	
